file,interval,input_rows,output_rows,start,end,null_datetime_dropped,null_ohlc_dropped,nonpositive_ohlc_dropped,ohlc_repaired_rows,duplicate_timestamp_rows_collapsed,weekend_rows,off_regular_session_rows,trading_days,min_rows_per_day,median_rows_per_day,max_rows_per_day,partial_days_lt_90pct_expected,regular_slot_missing_days,missing_regular_slots,abs_return_gt_5pct,abs_return_gt_10pct
NIFTY 500_30minute.csv,30min,21736,21736,2015-11-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,68,77,1680,2,13.0,13,11,1,1,7,3
NIFTY 500_5minute.csv,5min,125350,125350,2015-11-09 09:15:00,2026-04-08 12:00:00,0,0,0,0,0,378,429,1680,12,75.0,75,12,1,2,7,1
NIFTY 500_60minute.csv,60min,11705,11705,2015-11-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,37,41,1680,1,7.0,7,11,0,0,6,3
NIFTY 500_day.csv,day,2790,2790,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,0,11,0,2790,0,0.0,0,0,0,0,12,1
NIFTY 500_minute.csv,1min,626688,626688,2015-11-09 09:15:00,2026-04-08 12:54:00,0,0,0,0,0,1890,2070,1680,54,375.0,375,12,14,41,6,1
NIFTY 50_15minute.csv,15min,69308,69308,2015-01-09 09:15:00,2026-04-08 13:15:00,0,0,0,0,0,155,185,2784,4,25.0,25,15,2,2,5,1
NIFTY 50_30minute.csv,30min,36047,36047,2015-01-09 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,84,101,2784,2,13.0,13,15,0,0,5,2
NIFTY 50_5minute.csv,5min,207881,207881,2015-01-09 09:15:00,2026-04-08 11:25:00,0,0,0,0,0,465,552,2784,9,75.0,75,15,7,21,5,0
NIFTY 50_60minute.csv,60min,19412,19412,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,55,2784,1,7.0,7,15,0,0,6,2
NIFTY 50_day.csv,day,2791,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,0,11,0,2791,0,0.0,0,0,0,0,11,1
NIFTY 50_minute.csv,1min,1039200,1039196,2015-01-09 09:15:00,2026-04-08 10:23:00,0,0,0,0,4,2325,2697,2784,54,375.0,375,16,27,145,7,0
NIFTY ALPHA 50_15minute.csv,15min,41770,41770,2019-07-02 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,126,143,1679,4,25.0,25,11,0,0,7,0
NIFTY ALPHA 50_30minute.csv,30min,21724,21724,2019-07-02 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,68,77,1679,2,13.0,13,11,0,0,7,1
NIFTY ALPHA 50_5minute.csv,5min,125283,125283,2019-07-02 09:15:00,2026-04-08 11:55:00,0,0,0,0,0,378,429,1679,12,75.0,75,11,1,2,6,0
NIFTY ALPHA 50_60minute.csv,60min,11698,11698,2019-07-02 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,37,41,1679,1,7.0,7,11,0,0,8,2
NIFTY ALPHA 50_day.csv,day,2791,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,0,11,0,2791,0,0.0,0,0,0,0,14,2
NIFTY ALPHA 50_minute.csv,1min,626251,626251,2019-07-02 09:15:00,2026-04-08 11:05:00,0,0,0,0,0,1890,2070,1679,53,375.0,375,11,16,43,6,0
NIFTY AUTO_15minute.csv,15min,69282,69282,2015-01-09 09:15:00,2026-04-08 13:30:00,0,0,0,0,0,155,185,2783,4,25.0,25,15,3,4,8,1
NIFTY AUTO_30minute.csv,30min,36034,36034,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,84,101,2783,2,13.0,13,15,1,1,11,2
NIFTY AUTO_5minute.csv,5min,207801,207801,2015-01-09 09:15:00,2026-04-08 11:50:00,0,0,0,0,0,465,552,2783,9,75.0,75,16,8,22,8,1
NIFTY AUTO_60minute.csv,60min,19405,19405,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,55,2783,1,7.0,7,15,0,0,11,3
NIFTY AUTO_day.csv,day,3647,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,856,11,0,2791,0,0.0,0,0,0,0,19,2
NIFTY AUTO_minute.csv,1min,1038917,1038913,2015-01-09 09:15:00,2026-04-08 12:45:00,0,0,0,0,4,2325,2697,2783,54,375.0,375,17,27,145,9,0
NIFTY BANK_15minute.csv,15min,69306,69306,2015-01-09 09:15:00,2026-04-08 13:15:00,0,0,0,0,0,155,185,2784,4,25.0,25,15,3,4,9,1
NIFTY BANK_30minute.csv,30min,36046,36046,2015-01-09 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,84,101,2784,2,13.0,13,15,1,1,10,3
NIFTY BANK_5minute.csv,5min,207872,207872,2015-01-09 09:15:00,2026-04-08 11:25:00,0,0,0,0,0,465,552,2784,9,75.0,75,16,7,21,9,0
NIFTY BANK_60minute.csv,60min,19412,19412,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,55,2784,1,7.0,7,15,0,0,11,3
NIFTY BANK_day.csv,day,2795,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,4,11,0,2791,0,0.0,0,0,0,0,23,2
NIFTY BANK_minute.csv,1min,1039149,1039145,2015-01-09 09:15:00,2026-04-08 10:19:00,0,0,0,0,4,2325,2697,2784,54,375.0,375,17,27,142,12,0
NIFTY COMMODITIES_15minute.csv,15min,65207,65207,2015-01-09 09:15:00,2026-04-08 13:30:00,0,0,0,0,0,155,181,2621,1,25.0,25,16,3,4,9,3
NIFTY COMMODITIES_30minute.csv,30min,33915,33915,2015-01-09 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,84,99,2621,1,13.0,13,16,1,1,7,4
NIFTY COMMODITIES_5minute.csv,5min,195570,195570,2015-01-09 09:15:00,2026-04-08 11:30:00,0,0,0,0,0,465,540,2621,1,75.0,75,17,7,21,10,3
NIFTY COMMODITIES_60minute.csv,60min,18265,18265,2015-01-09 09:15:00,2026-04-08 14:15:00,0,0,0,0,0,46,54,2621,1,7.0,7,16,0,0,8,4
NIFTY COMMODITIES_day.csv,day,3491,2791,2015-01-01 00:00:00,2026-04-08 00:00:00,0,0,0,0,700,11,0,2791,0,0.0,0,0,0,0,195,182
NIFTY COMMODITIES_minute.csv,1min,977641,977637,2015-01-09 09:15:00,2026-04-08 10:33:00,0,0,0,0,4,2325,2637,2621,1,375.0,375,18,26,141,10,2
NIFTY CONSR DURBL_15minute.csv,15min,22249,22249,2022-08-29 09:15:00,2026-04-08 13:45:00,0,0,0,0,0,93,101,895,4,25.0,25,7,0,0,0,0
