strategy,expiry,entry_time,exit_time,entry_reason,exit_reason,legs,gross_pnl,charges,net_pnl
ShortStrangle,2024-08-22,2024-08-22 09:20:00,2024-08-22 10:13:00,entry,target,"SELL:NIFTY22AUG24CE24900@17.9,SELL:NIFTY22AUG24PE24700@18.05",902.5,98.72,803.78
ShortStrangle,2024-08-29,2024-08-29 09:20:00,2024-08-29 11:40:00,entry,target,"SELL:NIFTY29AUG24CE25150@16.4,SELL:NIFTY29AUG24PE24950@24.15",1017.5,99.27,918.23
ShortStrangle,2024-09-05,2024-09-05 09:20:00,2024-09-05 11:32:00,entry,target,"SELL:NIFTY05SEP24CE25350@23.85,SELL:NIFTY05SEP24PE25150@22.8",1262.5,99.94,1162.56
ShortStrangle,2024-09-12,2024-09-12 09:20:00,2024-09-12 10:27:00,entry,stop_loss,"SELL:NIFTY12SEP24CE25100@20.5,SELL:NIFTY12SEP24PE24900@15.75",-915.0,99.88,-1014.88
ShortStrangle,2024-09-19,2024-09-19 09:20:00,2024-09-19 10:55:00,entry,target,"SELL:NIFTY19SEP24CE25700@20.45,SELL:NIFTY19SEP24PE25500@26.25",1172.5,100.01,1072.49
ShortStrangle,2024-09-26,2024-09-26 09:20:00,2024-09-26 14:37:00,entry,stop_loss,"SELL:NIFTY26SEP24CE26150@29.8,SELL:NIFTY26SEP24PE25950@25.95",-1652.5,102.99,-1755.49
ShortStrangle,2024-10-03,2024-10-03 09:20:00,2024-10-03 09:42:00,entry,stop_loss,"SELL:NIFTY03OCT24CE25650@31.45,SELL:NIFTY03OCT24PE25450@47.2",-1960.0,106.29,-2066.29
ShortStrangle,2024-10-10,2024-10-10 09:20:00,2024-10-10 10:21:00,entry,target,"SELL:NIFTY10OCT24CE25150@37.05,SELL:NIFTY10OCT24PE24950@42.8",2110.0,103.92,2006.08
ShortStrangle,2024-10-17,2024-10-17 09:20:00,2024-10-17 09:46:00,entry,stop_loss,"SELL:NIFTY17OCT24CE25050@25.05,SELL:NIFTY17OCT24PE24850@23.85",-1585.0,102.02,-1687.02
ShortStrangle,2024-10-24,2024-10-24 09:20:00,2024-10-24 09:54:00,entry,target,"SELL:NIFTY24OCT24CE24500@40.25,SELL:NIFTY24OCT24PE24300@28.8",1767.5,102.66,1664.84
ShortStrangle,2024-10-31,2024-10-31 09:20:00,2024-10-31 10:00:00,entry,target,"SELL:NIFTY31OCT24CE24450@25.3,SELL:NIFTY31OCT24PE24250@35.8",1840.0,101.54,1738.46
ShortStrangle,2024-11-07,2024-11-07 09:20:00,2024-11-07 09:26:00,entry,stop_loss,"SELL:NIFTY07NOV24CE24550@26.25,SELL:NIFTY07NOV24PE24350@30.4",-1537.5,103.03,-1640.53
ShortStrangle,2024-11-14,2024-11-14 09:20:00,2024-11-14 10:11:00,entry,target,"SELL:NIFTY14NOV24CE23700@42.4,SELL:NIFTY14NOV24PE23500@57.4",2560.0,106.34,2453.66
ShortStrangle,2024-11-21,2024-11-21 09:20:00,2024-11-21 09:55:00,entry,target,"SELL:NIFTY21NOV24CE23500@40.4,SELL:NIFTY21NOV24PE23300@71.3",2792.5,107.81,2684.69
ShortStrangle,2024-11-28,2024-11-28 09:20:00,2024-11-28 10:36:00,entry,stop_loss,"SELL:NIFTY28NOV24CE24400@32.9,SELL:NIFTY28NOV24PE24200@39.0",-2095.0,105.46,-2200.46
ShortStrangle,2024-12-05,2024-12-05 09:20:00,2024-12-05 09:49:00,entry,stop_loss,"SELL:NIFTY05DEC24CE24600@63.4,SELL:NIFTY05DEC24PE24400@70.1",-3982.5,114.98,-4097.48
ShortStrangle,2024-12-12,2024-12-12 09:20:00,2024-12-12 09:36:00,entry,stop_loss,"SELL:NIFTY12DEC24CE24750@14.5,SELL:NIFTY12DEC24PE24550@15.9",-1155.0,99.24,-1254.24
ShortStrangle,2024-12-19,2024-12-19 09:20:00,2024-12-19 10:02:00,entry,target,"SELL:NIFTY19DEC24CE24000@47.1,SELL:NIFTY19DEC24PE23800@49.75",2542.5,105.95,2436.55
ShortStrangle,2024-12-26,2024-12-26 09:20:00,2024-12-26 11:14:00,entry,target,"SELL:NIFTY26DEC24CE23950@29.7,SELL:NIFTY26DEC24PE23750@31.15",1512.5,101.72,1410.78
ShortStrangle,2025-01-02,2025-01-02 09:20:00,2025-01-02 12:30:00,entry,stop_loss,"SELL:NIFTY02JAN25CE23850@78.65,SELL:NIFTY02JAN25PE23650@66.75",-4295.0,116.79,-4411.79
ShortStrangle,2025-01-09,2025-01-09 09:20:00,2025-01-09 11:40:00,entry,target,"SELL:NIFTY09JAN25CE23700@23.4,SELL:NIFTY09JAN25PE23500@21.8",1142.5,99.82,1042.68
ShortStrangle,2025-01-16,2025-01-16 09:20:00,2025-01-16 11:41:00,entry,target,"SELL:NIFTY16JAN25CE23450@10.9,SELL:NIFTY16JAN25PE23250@15.25",652.5,97.54,554.96
ShortStrangle,2025-01-23,2025-01-23 09:20:00,2025-01-23 09:41:00,entry,stop_loss,"SELL:NIFTY23JAN25CE23200@26.5,SELL:NIFTY23JAN25PE23000@16.85",-1330.0,101.1,-1431.1
ShortStrangle,2025-01-30,2025-01-30 09:20:00,2025-01-30 12:48:00,entry,target,"SELL:NIFTY30JAN25CE23250@73.25,SELL:NIFTY30JAN25PE23050@84.85",4120.0,113.28,4006.72
