file,schema,nifty_option_rows,no_trade_rows,active_rows,true_bad_ohlc,duplicates,error
20091124.csv,legacy,700,540,160,0,0,
20091125.csv,legacy,700,537,163,0,0,
20091126.csv,legacy,700,528,172,0,0,
20091127.csv,legacy,690,553,137,0,0,
20091130.csv,legacy,692,553,139,0,0,
20091201.csv,legacy,692,541,151,0,0,
20091202.csv,legacy,694,525,169,0,0,
20091203.csv,legacy,694,533,161,0,0,
20091204.csv,legacy,694,540,154,0,0,
20091207.csv,legacy,694,533,161,0,0,
20091208.csv,legacy,694,525,169,0,0,
20091209.csv,legacy,694,536,158,0,0,
20091210.csv,legacy,694,535,159,0,0,
20091211.csv,legacy,694,535,159,0,0,
20091214.csv,legacy,694,532,162,0,0,
20091215.csv,legacy,694,523,171,0,0,
20091216.csv,legacy,694,529,165,0,0,
20091217.csv,legacy,694,529,165,0,0,
20091218.csv,legacy,694,523,171,0,0,
20091221.csv,legacy,694,535,159,0,0,
20091222.csv,legacy,694,522,172,0,0,
20091223.csv,legacy,694,518,176,0,0,
20091224.csv,legacy,694,519,175,0,0,
20091229.csv,legacy,716,533,183,0,0,
20091230.csv,legacy,716,527,189,0,0,
20091231.csv,legacy,716,509,207,0,0,
20100104.csv,legacy,644,488,156,0,0,
20100105.csv,legacy,644,492,152,0,0,
20100106.csv,legacy,666,511,155,0,0,
20100107.csv,legacy,666,511,155,0,0,
20100108.csv,legacy,666,506,160,0,0,
20100111.csv,legacy,666,546,120,0,0,
20100112.csv,legacy,666,534,132,0,0,
20100113.csv,legacy,666,539,127,0,0,
20100114.csv,legacy,666,545,121,0,0,
20100115.csv,legacy,666,544,122,0,0,
20100118.csv,legacy,666,545,121,0,0,
20100119.csv,legacy,666,533,133,0,0,
20100120.csv,legacy,666,533,133,0,0,
20100121.csv,legacy,666,524,142,0,0,
20100122.csv,legacy,668,523,145,0,0,
20100125.csv,legacy,670,534,136,0,0,
20100127.csv,legacy,670,521,149,0,0,
20100128.csv,legacy,672,525,147,0,0,
20100129.csv,legacy,658,513,145,0,0,
20100201.csv,legacy,658,542,116,0,0,
20100202.csv,legacy,658,542,116,0,0,
20100203.csv,legacy,664,539,125,0,0,
20100204.csv,legacy,664,537,127,0,0,
20100205.csv,legacy,664,531,133,0,0,
20100208.csv,legacy,670,537,133,0,0,
20100209.csv,legacy,670,544,126,0,0,
20100210.csv,legacy,670,536,134,0,0,
20100211.csv,legacy,670,539,131,0,0,
20100215.csv,legacy,670,549,121,0,0,
20100216.csv,legacy,670,540,130,0,0,
20100217.csv,legacy,670,547,123,0,0,
20100218.csv,legacy,670,552,118,0,0,
20100219.csv,legacy,670,547,123,0,0,
20100222.csv,legacy,670,534,136,0,0,
20100223.csv,legacy,670,547,123,0,0,
20100224.csv,legacy,670,539,131,0,0,
20100225.csv,legacy,670,531,139,0,0,
20100226.csv,legacy,658,514,144,0,0,
20100302.csv,legacy,658,538,120,0,0,
20100303.csv,legacy,662,524,138,0,0,
20100304.csv,legacy,666,534,132,0,0,
20100305.csv,legacy,666,539,127,0,0,
20100308.csv,legacy,666,540,126,0,0,
20100309.csv,legacy,666,548,118,0,0,
20100310.csv,legacy,666,534,132,0,0,
20100311.csv,legacy,666,532,134,0,0,
20100312.csv,legacy,666,538,128,0,0,
20100315.csv,legacy,666,538,128,0,0,
20100316.csv,legacy,666,527,139,0,0,
20100317.csv,legacy,670,535,135,0,0,
20100318.csv,legacy,670,530,140,0,0,
20100319.csv,legacy,670,530,140,0,0,
20100322.csv,legacy,674,536,138,0,0,
20100323.csv,legacy,674,522,152,0,0,
20100325.csv,legacy,674,517,157,0,0,
20100326.csv,legacy,628,497,131,0,0,
20100329.csv,legacy,628,512,116,0,0,
20100330.csv,legacy,628,513,115,0,0,
20100331.csv,legacy,628,502,126,0,0,
20100401.csv,legacy,630,518,112,0,0,
20100405.csv,legacy,630,515,115,0,0,
20100406.csv,legacy,652,537,115,0,0,
20100407.csv,legacy,652,535,117,0,0,
20100408.csv,legacy,652,521,131,0,0,
20100409.csv,legacy,652,535,117,0,0,
20100412.csv,legacy,652,538,114,0,0,
20100413.csv,legacy,652,532,120,0,0,
20100415.csv,legacy,652,526,126,0,0,
20100416.csv,legacy,652,518,134,0,0,
20100419.csv,legacy,652,514,138,0,0,
20100420.csv,legacy,652,531,121,0,0,
20100421.csv,legacy,652,533,119,0,0,
20100422.csv,legacy,652,512,140,0,0,
20100423.csv,legacy,652,520,132,0,0,
20100426.csv,legacy,652,525,127,0,0,
20100427.csv,legacy,652,522,130,0,0,
20100428.csv,legacy,652,516,136,0,0,
20100429.csv,legacy,652,507,145,0,0,
20100430.csv,legacy,638,514,124,0,0,
20100503.csv,legacy,638,511,127,0,0,
20100504.csv,legacy,640,520,120,0,0,
20100505.csv,legacy,644,516,128,0,0,
20100506.csv,legacy,644,511,133,0,0,
20100507.csv,legacy,644,524,120,0,0,
20100510.csv,legacy,648,521,127,0,0,
20100511.csv,legacy,648,528,120,0,0,
20100512.csv,legacy,648,521,127,0,0,
20100513.csv,legacy,648,521,127,0,0,
20100514.csv,legacy,648,515,133,0,0,
20100517.csv,legacy,648,517,131,0,0,
20100518.csv,legacy,648,520,128,0,0,
20100519.csv,legacy,648,503,145,0,0,
20100520.csv,legacy,652,530,122,0,0,
20100521.csv,legacy,652,506,146,0,0,
20100524.csv,legacy,652,524,128,0,0,
20100525.csv,legacy,652,503,149,0,0,
20100526.csv,legacy,658,513,145,0,0,
20100527.csv,legacy,658,515,143,0,0,
20100528.csv,legacy,724,599,125,0,0,
20100531.csv,legacy,732,581,151,0,0,
20100601.csv,legacy,732,589,143,0,0,
20100602.csv,legacy,732,606,126,0,0,
20100603.csv,legacy,732,581,151,0,0,
20100604.csv,legacy,732,590,142,0,0,
20100607.csv,legacy,732,589,143,0,0,
20100608.csv,legacy,732,592,140,0,0,
20100609.csv,legacy,732,591,141,0,0,
20100610.csv,legacy,732,578,154,0,0,
20100611.csv,legacy,732,577,155,0,0,
20100614.csv,legacy,732,561,171,0,0,
20100615.csv,legacy,740,576,164,0,0,
20100616.csv,legacy,740,571,169,0,0,
20100617.csv,legacy,740,572,168,0,0,
20100618.csv,legacy,748,593,155,0,0,
20100621.csv,legacy,748,578,170,0,0,
20100622.csv,legacy,758,594,164,0,0,
20100623.csv,legacy,758,592,166,0,0,
20100624.csv,legacy,758,582,176,0,0,
20100625.csv,legacy,702,587,115,0,0,
20100628.csv,legacy,702,576,126,0,0,
20100629.csv,legacy,702,577,125,0,0,
20100630.csv,legacy,702,551,151,0,0,
20100701.csv,legacy,702,571,131,0,0,
20100702.csv,legacy,702,574,128,0,0,
20100705.csv,legacy,704,577,127,0,0,
20100706.csv,legacy,704,572,132,0,0,
20100707.csv,legacy,704,567,137,0,0,
20100708.csv,legacy,704,554,150,0,0,
20100709.csv,legacy,704,559,145,0,0,
20100712.csv,legacy,706,560,146,0,0,
20100713.csv,legacy,706,562,144,0,0,
20100714.csv,legacy,706,560,146,0,0,
20100715.csv,legacy,706,568,138,0,0,
20100716.csv,legacy,706,570,136,0,0,
20100719.csv,legacy,706,574,132,0,0,
20100720.csv,legacy,706,564,142,0,0,
20100721.csv,legacy,706,569,137,0,0,
20100722.csv,legacy,706,554,152,0,0,
20100723.csv,legacy,706,560,146,0,0,
20100726.csv,legacy,706,559,147,0,0,
